,,Ruzicka
DDD,DDSA,0.5
AVG,PAVG,0.5
DGN,DGS,0.5
PAVD,PAVREL,0.391304347826087
AVG,AVW,0.375
DIN,DIS,0.37037037037037035
DRELS,PKOR,0.3584905660377358
VAFIN.ind,VKFIN.ind,0.3392857142857143
VAFIN.konj,VKFIN.konj,0.3076923076923077
AVW,PAVG,0.2857142857142857
AVG,PAVREL,0.2727272727272727
KON,KOUS,0.2634146341463415
DDART,DDS,0.25984251968503935
VKFIN.*,VKFIN.ind,0.2549019607843137
DNEGS,PTKANT,0.25
APPR,PAVAP,0.24573378839590443
DDART,PKOR,0.24358974358974358
VMFIN.*,VMFIN.ind,0.2336448598130841
PTKA,PTKN,0.23333333333333334
PAVAP,PTKVZ,0.23076923076923078
VAFIN.*,VKFIN.*,0.22972972972972974
DPOSA,DPOSS,0.22826086956521738
DDS,PKOR,0.2261904761904762
DGA,DRELA,0.21951219512195122
DRELS,PG,0.21794871794871795
DDS,DRELS,0.21621621621621623
VMFIN.ind,VMFIN.konj,0.21568627450980393
VKFIN.*,VKFIN.konj,0.21428571428571427
AVW,PAVREL,0.21428571428571427
DDART,DRELS,0.205607476635514
CARDA,CARDS,0.20555555555555555
PAVG,PAVREL,0.2
AVREL,PAVREL,0.1891891891891892
VAFIN.*,VAFIN.ind,0.18604651162790697
PTKG,PTKREL,0.16666666666666666
DPOSD,DPOSN,0.16666666666666666
VMFIN.konj,VMINF,0.16666666666666666
APPR,PTKVZ,0.1625441696113074
DIN,PTKN,0.1590909090909091
KOKOM,KOUS,0.15862068965517243
VVFIN.*,VVFIN.ind,0.15584415584415584
DPOSD,VKINF,0.15384615384615385
VMFIN.*,VMFIN.konj,0.15217391304347827
VKFIN.*,VKINF,0.14634146341463414
KOKOM,PTKA,0.14516129032258066
DIA,PI,0.14330218068535824
AVREL,PAVD,0.14285714285714285
DGS,DRELA,0.14285714285714285
VAFIN.konj,VKFIN.*,0.14
AVREL,AVW,0.1388888888888889
DRELA,DRELS,0.13793103448275862
KOKOM,PTKN,0.1346153846153846
VAFIN.ind,VKFIN.*,0.13333333333333333
AVG,PAVD,0.13043478260869565
VAFIN.*,VKFIN.ind,0.125
DNEGA,PNEG,0.12195121951219512
VAFIN.*,VAFIN.konj,0.12121212121212122
VKINF,VKPP,0.11764705882352941
AVG,AVREL,0.11764705882352941
AVW,PAVD,0.11538461538461539
DPOSD,DPOSS,0.11538461538461539
VAFIN.*,VKFIN.konj,0.11475409836065574
CARDN,CARDS,0.11290322580645161
DIN,PTKA,0.10526315789473684
PG,PKOR,0.10526315789473684
KOKOM,KON,0.10526315789473684
DIART,PTKNEG,0.1
DIART,DIS,0.0975609756097561
DGA,PG,0.09722222222222222
DRELA,PKOR,0.0967741935483871
KOKOM,PTKG,0.0967741935483871
DRELA,PG,0.09615384615384616
KOUS,PTKA,0.09580838323353294
DDA,DDS,0.09558823529411764
AVREL,KOUS,0.09433962264150944
DIART,PPER,0.09375
DDART,DIART,0.09375
DPOSA,PPER,0.09239130434782608
VVFIN.*,VVINF,0.0923352756611385
VAPP,VKPP,0.09090909090909091
PAVD,PAVG,0.09090909090909091
DRELS,KOUS,0.09090909090909091
DPOSN,VKINF,0.09090909090909091
DDART,KOUS,0.09045226130653267
PTKA,PTKG,0.08888888888888889
VMFIN.*,VMINF,0.08888888888888889
ADJD,ADJV,0.08848314606741572
VVFIN.*,VVFIN.konj,0.08532695374800638
VAPP,VKINF,0.08333333333333333
DIART,PI,0.08205128205128205
DIS,PI,0.08108108108108109
VMFIN.ind,VMINF,0.08
KON,PTKA,0.08
APPO,PTKVZ,0.07920792079207921
KON,PTKN,0.07913669064748201
APPR,KOUS,0.07887323943661972
OA,XY,0.07818930041152264
APPR,AVD,0.07700534759358289
VAINF,VKINF,0.07692307692307693
AVD,KOUS,0.07491082045184304
APPO,PAVAP,0.07407407407407407
DIN,PI,0.07407407407407407
DGN,DRELA,0.07142857142857142
DPOSD,VMINF,0.07142857142857142
DIS,PTKA,0.07142857142857142
APPR,KON,0.07100591715976332
DDA,DDART,0.06716417910447761
DDS,KOUS,0.06698564593301436
KO*,KOKOM,0.06666666666666667
PTKREL,VVIMP,0.06666666666666667
VKFIN.konj,VMFIN.konj,0.06666666666666667
VAFIN.*,VKINF,0.06666666666666667
KOKOM,PKOR,0.06666666666666667
DIS,PTKN,0.06666666666666667
PTKA,PTKZU,0.06521739130434782
DIS,PTKNEG,0.06451612903225806
PNEG,PTKNEG,0.06451612903225806
VAINF,VKFIN.*,0.0641025641025641
VVFIN.ind,VVPP,0.06270447110141766
DPOSS,VKINF,0.0625
DIA,DIN,0.0625
DPOSS,PPER,0.0625
VAFIN.ind,VAFIN.konj,0.0625
KOUS,PTKN,0.062111801242236024
VVFIN.ind,VVFIN.konj,0.06187624750499002
AVREL,DRELS,0.06172839506172839
AVD,PAVAP,0.06107784431137724
PG,PI,0.06103286384976526
AVD,KON,0.060024009603841535
DGA,DIS,0.06
KOKOM,PG,0.05970149253731343
VVFIN.*,VVPP,0.059433962264150944
DGN,DIS,0.058823529411764705
DID,DIS,0.058823529411764705
DNEGS,PTKNEG,0.058823529411764705
AVREL,PAVG,0.058823529411764705
AVG,DRELA,0.058823529411764705
AVREL,PKOR,0.058823529411764705
ADJA,ADJS,0.05778894472361809
PTKN,PTKZU,0.05714285714285714
PTKG,PTKN,0.05714285714285714
AVREL,DDART,0.05714285714285714
DRELS,PAVD,0.05714285714285714
DGA,DIN,0.05660377358490566
DDART,PPER,0.055865921787709494
PTKANT,PTKNEG,0.05555555555555555
DGA,DGS,0.05555555555555555
DDN,DIS,0.05555555555555555
DGS,DIS,0.05555555555555555
VAFIN.konj,VMFIN.konj,0.05555555555555555
AVREL,KON,0.05517241379310345
AVREL,PG,0.0547945205479452
AVREL,PTKA,0.0547945205479452
DPOSN,VKFIN.*,0.05405405405405406
DRELS,PI,0.053811659192825115
VKINF,VMINF,0.05263157894736842
KOUS,PKOR,0.05263157894736842
PTKG,VKFIN.konj,0.05263157894736842
VAPP,VKFIN.*,0.05263157894736842
DRELS,KOKOM,0.05263157894736842
AVD,PTKVZ,0.05198019801980198
KOUS,PAVD,0.05194805194805195
VAFIN.*,VMFIN.*,0.05185185185185185
VKFIN.ind,VKFIN.konj,0.05128205128205128
ADJV,AVD,0.05015353121801433
PTKG,VVIMP,0.05
PAVD,PKOR,0.05
DPOSD,VKFIN.*,0.05
DDD,PKOR,0.05
DPDS,PKOR,0.05
VAFIN,VAFIN.konj,0.05
DGN,DIN,0.05
DID,DIN,0.05
CARDA,CARDN,0.05
AVW,DRELA,0.05
PI,PPER,0.0498220640569395
PPER,VKFIN.*,0.04929577464788732
KOUS,PAVAP,0.048
DGA,PI,0.04784688995215311
DNEGA,DNEGS,0.047619047619047616
PTKG,PTKNEG,0.047619047619047616
DGA,DRELS,0.047619047619047616
VAFIN.konj,VAINF,0.047619047619047616
DGA,DIA,0.047619047619047616
DDSA,PKOR,0.047619047619047616
DPOSN,VAFIN.konj,0.047619047619047616
DDN,DIN,0.047619047619047616
PPER,PTKVZ,0.047619047619047616
DGS,DIN,0.047619047619047616
APPO,APPR,0.047244094488188976
PPER,PRF,0.046875
DGS,PG,0.046511627906976744
NA,VVINF,0.046289031853130394
DDART,DRELA,0.04597701149425287
KOUS,PG,0.045714285714285714
VKFIN.*,VKPP,0.045454545454545456
VKFIN.konj,VKPP,0.045454545454545456
DPOSS,VAINF,0.04477611940298507
KON,PAVD,0.044444444444444446
DPOSA,DPOSD,0.044444444444444446
AVNEG,PNEG,0.04411764705882353
VKFIN.konj,VKINF,0.043478260869565216
KO*,PKOR,0.043478260869565216
PAVAP,PAVD,0.043478260869565216
DIN,KOKOM,0.043478260869565216
DDART,PG,0.043478260869565216
AVREL,DRELA,0.043478260869565216
ADJD,ADJN,0.0432
VVINF,VVPP,0.04309987567343556
DDS,DRELA,0.043010752688172046
AVREL,VVIMP,0.0425531914893617
DDART,PAVD,0.042105263157894736
VAFIN.konj,VVFIN.konj,0.04195804195804196
VAFIN.*,VAINF,0.041666666666666664
DIART,PRF,0.041666666666666664
DPOSGEN,DPOSS,0.041666666666666664
DPOSD,VAFIN.konj,0.041666666666666664
KOUS,PAVREL,0.041666666666666664
VMINF,VVIMP,0.041666666666666664
DIA,DIS,0.04145077720207254
AVW,KON,0.04132231404958678
DDS,PG,0.04132231404958678
CARDS,DIS,0.0410958904109589
DPOSD,VAINF,0.04081632653061224
PPER,PTKNEG,0.04065040650406504
KON,PTKVZ,0.04060913705583756
KO*,PAVD,0.04
DIART,DPOSS,0.04
DNEGS,PNEG,0.04
DPOSN,DPOSS,0.04
DDART,KOKOM,0.039603960396039604
VKFIN.konj,VVFIN.konj,0.03914590747330961
PI,PTKN,0.038834951456310676
PAVREL,VMFIN.ind,0.038461538461538464
VAINF,VKPP,0.03773584905660377
VKFIN.*,VMFIN.konj,0.03773584905660377
DDS,KOKOM,0.037383177570093455
KOUS,PTKVZ,0.03669724770642202
KOUS,OA,0.036468330134357005
DDA,PKOR,0.03614457831325301
KON,OA,0.03592814371257485
DDART,PI,0.035856573705179286
DPOSN,VKFIN.ind,0.03571428571428571
KOKOM,PTKREL,0.03571428571428571
DNEGA,PTKNEG,0.03571428571428571
ADJV,PTKVZ,0.03571428571428571
CARDS,DIART,0.03571428571428571
ADJA,AVD,0.03563056727613689
AVREL,DDS,0.035398230088495575
VVFIN.ind,VVINF,0.03531688437348815
AVW,KOUS,0.035211267605633804
AVW,DRELS,0.03508771929824561
DPOSD,VAFIN.*,0.03508771929824561
DDA,DRELS,0.03508771929824561
APPR,PPER,0.03498542274052478
VAFIN.konj,VKINF,0.034482758620689655
VAINF,VKFIN.konj,0.034482758620689655
APPR,KOKOM,0.03435114503816794
ADJA,ADJD,0.03433703116745906
KON,PAVAP,0.034334763948497854
ADJA,ADJV,0.03391883706844337
DPOSS,VKFIN.*,0.03389830508474576
PTKVZ,PTKZU,0.033707865168539325
DIA,PTKN,0.03365384615384615
NA,VVFIN.*,0.033608014218775246
DRELA,KOUS,0.03355704697986577
VAFIN.ind,VVFIN.ind,0.03345724907063197
DRELS,PAVREL,0.03333333333333333
VAFIN.ind,VKFIN.konj,0.03333333333333333
AVREL,KOKOM,0.03333333333333333
DIS,DRELA,0.03333333333333333
AVD,PTKA,0.03329065300896287
AVREL,PAVAP,0.033112582781456956
VAFIN.*,VKPP,0.03278688524590164
PPER,VKFIN.konj,0.03278688524590164
APPR,PTKA,0.032490974729241874
DID,PTKN,0.03225806451612903
DPOSD,VKFIN.ind,0.03225806451612903
PTKN,PTKREL,0.03225806451612903
PTKA,PTKVZ,0.032
KON,PAVREL,0.032
PI,PTKA,0.0319634703196347
KON,PG,0.03184713375796178
DDART,KON,0.031578947368421054
DRELA,PI,0.031413612565445025
DIART,DPOSD,0.03125
DDN,PTKN,0.03125
PAVD,VMFIN.ind,0.03125
PPER,VAFIN.*,0.031055900621118012
DDS,PI,0.031007751937984496
PAVAP,PPER,0.030837004405286344
DGA,PTKN,0.03076923076923077
KON,PI,0.030716723549488054
DDART,DPOSS,0.030612244897959183
DDS,KON,0.030612244897959183
AVD,PI,0.030467899891186073
DIN,DRELA,0.030303030303030304
DPOSS,VMINF,0.030303030303030304
PTKNEG,PTKVZ,0.030303030303030304
DRELS,KON,0.030120481927710843
DIN,KON,0.02962962962962963
AVREL,PTKREL,0.029411764705882353
