dist,known,total,train_docs,unk
0,0.8454996456413891,0.6784519827998089,{'SOS1'},0.33284457478005863
1,0.8547741566609491,0.7783086478738652,"{'Ko', 'SOS1'}",0.38953488372093026
2,0.861756373937677,0.7835642618251314,"{'SRR1', 'SOS1', 'Ko'}",0.3628048780487805
3,0.8623229461756374,0.7849976110845676,"{'SRR1', 'Ko', 'REN12', 'SOS1'}",0.36890243902439024
4,0.8640996602491506,0.7859531772575251,"{'Ko', 'SRR1', 'REN12', 'REN11', 'SOS1'}",0.363914373088685
5,0.8640721940214326,0.789775441949355,"{'Ko', 'SRR1', 'REN12', 'REN9', 'REN11', 'SOS1'}",0.378125
6,0.8652561247216035,0.7959866220735786,"{'Ko', 'SRR1', 'REN12', 'REN8', 'REN9', 'REN11', 'SOS1'}",0.3771043771043771
7,0.8656798245614035,0.8002866698518872,"{'Ko', 'SRR1', 'REN8', 'REN12', 'REN11', 'REN9', 'REN4', 'SOS1'}",0.35687732342007433
8,0.8617486338797814,0.7974199713330148,"{'Ko', 'SRR1', 'REN14', 'REN12', 'REN8', 'REN9', 'REN4', 'REN11', 'SOS1'}",0.34980988593155893
9,0.8661333333333333,0.8174868609651218,"{'Ko', 'REN14', 'SRR1', 'REN12', 'REN8', 'REN11', 'REN9', 'REN4', 'SOS1', 'REN2'}",0.39908256880733944
10,0.8652822151224707,0.8150979455327282,"{'Ko', 'DSR', 'SRR1', 'REN14', 'REN8', 'REN12', 'REN11', 'REN9', 'REN4', 'SOS1', 'REN2'}",0.3767441860465116
11,0.8658861096327833,0.8155757286192069,"{'Ko', 'REN15', 'DSR', 'REN14', 'SRR1', 'REN8', 'REN12', 'REN9', 'REN4', 'REN11', 'SOS1', 'REN2'}",0.37383177570093457
12,0.8676939426142402,0.8179646440516005,"{'Ko', 'REN15', 'DSR', 'WS1', 'REN14', 'SRR1', 'REN12', 'REN8', 'REN11', 'REN9', 'REN4', 'SOS1', 'REN2'}",0.3744075829383886
13,0.869287991498406,0.8189202102245581,"{'Ko', 'REN15', 'DSR', 'REN5', 'WS1', 'SRR1', 'REN14', 'REN8', 'REN12', 'REN11', 'REN9', 'REN4', 'SOS1', 'REN2'}",0.3696682464454976
14,0.8687566418703507,0.8189202102245581,"{'Ko', 'REN15', 'DSR', 'SOS1', 'WS1', 'SRR1', 'REN14', 'REN12', 'REN8', 'REN9', 'REN5', 'REN4', 'REN11', 'REN7', 'REN2'}",0.3744075829383886
15,0.8682252922422954,0.8189202102245581,"{'Ko', 'REN15', 'DSR', 'REN5', 'WS1', 'SRR1', 'REN14', 'REN12', 'REN8', 'REN11', 'REN10', 'REN9', 'REN4', 'REN7', 'SOS1', 'REN2'}",0.3791469194312796
16,0.8734780307040763,0.8222646918299092,"{'Ko', 'REN15', 'DSR', 'St2', 'WS1', 'REN14', 'SRR1', 'REN7', 'REN8', 'REN12', 'REN9', 'REN10', 'REN11', 'REN5', 'REN4', 'SOS1', 'REN2'}",0.3480392156862745
17,0.873015873015873,0.822742474916388,"{'Ko', 'REN15', 'DSR', 'SOS1', 'St2', 'WS1', 'SRR1', 'REN14', 'REN2', 'REN8', 'REN12', 'REN11', 'REN10', 'REN9', 'REN5', 'REN4', 'REN7', 'REN19'}",0.35467980295566504
18,0.875065893516078,0.8260869565217391,"{'Ko', 'St2', 'REN12', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN8', 'REN7', 'REN15', 'REN14', 'SRR1', 'REN9', 'REN5', 'SOS1'}",0.3520408163265306
19,0.8767123287671232,0.8270425226946966,"{'Ko', 'St2', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN11', 'REN4', 'DSR', 'REN8', 'REN7', 'REN15', 'REN18', 'REN14', 'SRR1', 'REN9', 'REN5', 'SOS1'}",0.3435897435897436
20,0.8767772511848341,0.8265647396082179,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN5', 'REN8', 'REN7', 'REN18', 'REN15', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.33505154639175255
21,0.8773038441284887,0.8275203057811753,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN5', 'REN8', 'REN6', 'REN7', 'REN15', 'REN18', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.3402061855670103
