dist,known,total,train_docs,unk
0,0.7204148027653517,0.38232437682097764,{'SRR1'},0.22437541559798613
1,0.7309542902967121,0.38517319520880544,"{'SRR1', 'REN11'}",0.22023524911542508
2,0.6841255605381166,0.3685335059889932,"{'SRR1', 'REN11', 'REN8'}",0.19027355623100303
3,0.6892685531233316,0.3662026545807705,"{'REN3', 'REN11', 'SRR1', 'REN8'}",0.18145735802971708
4,0.687819495857571,0.3635480738102946,"{'SRR1', 'REN3', 'REN8', 'REN9', 'REN11'}",0.17529676627097832
5,0.6859819569743234,0.37235351246358045,"{'SRR1', 'REN3', 'REN9', 'REN8', 'BS1', 'REN11'}",0.1856213201115587
6,0.6787735849056604,0.39682745224991905,"{'REN14', 'SRR1', 'REN8', 'REN9', 'REN3', 'BS1', 'REN11'}",0.19944964226747386
7,0.6737976264834479,0.3948203302039495,"{'REN18', 'REN14', 'SRR1', 'REN3', 'REN9', 'REN8', 'BS1', 'REN11'}",0.19721269771043026
8,0.6828291814946619,0.40427322758174167,"{'REN18', 'REN14', 'SRR1', 'REN8', 'REN9', 'REN3', 'BS1', 'REN11', 'REN2'}",0.18836915297092288
9,0.6833209785025945,0.40362576885723533,"{'REN18', 'SRR1', 'REN14', 'REN8', 'REN3', 'REN12', 'REN9', 'BS1', 'REN11', 'REN2'}",0.1867816091954023
10,0.688708036622584,0.4112657818064098,"{'REN18', 'BS1', 'SRR1', 'REN14', 'REN3', 'REN8', 'REN12', 'REN9', 'REN11', 'SOS1', 'REN2'}",0.18834656702475477
11,0.6849176538572667,0.41068306895435414,"{'REN18', 'BS1', 'REN14', 'SRR1', 'REN8', 'REN12', 'REN3', 'REN9', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.18796198521647306
12,0.6847731869401907,0.4101003561022985,"{'REN18', 'WS1', 'REN14', 'SRR1', 'BS1', 'REN3', 'REN12', 'REN8', 'REN9', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.18702334858617858
13,0.6866637893828226,0.4121722240207187,"{'REN18', 'BS1', 'SRR1', 'REN14', 'WS1', 'REN3', 'REN8', 'REN12', 'REN9', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.18754414881092535
14,0.6980033277870217,0.4297183554548398,"{'REN18', 'BS1', 'REN14', 'WS1', 'SRR1', 'REN8', 'REN12', 'REN3', 'REN10', 'REN9', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.19470423903801773
15,0.6953568953568954,0.4275169957915183,"{'REN18', 'WS1', 'SRR1', 'REN14', 'BS1', 'REN12', 'REN3', 'REN11', 'REN10', 'REN8', 'REN9', 'REN6', 'REN1', 'REN4', 'SOS1', 'REN2'}",0.19270959902794654
16,0.6961762261014132,0.42615733247005505,"{'REN18', 'REN4', 'WS1', 'REN14', 'SRR1', 'REN10', 'REN3', 'REN12', 'REN8', 'REN9', 'REN19', 'BS1', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.18925489242737328
17,0.6924674605372473,0.42460343153123986,"{'REN18', 'REN4', 'St2', 'WS1', 'REN14', 'SRR1', 'REN2', 'REN8', 'REN12', 'REN9', 'REN10', 'REN3', 'BS1', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.18934695366654505
18,0.6919778699861687,0.42764648753641954,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'REN8', 'BS1', 'REN6', 'REN18', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.19500912964090078
19,0.6915629322268326,0.426869537067012,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN11', 'REN4', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'SRR1', 'REN14', 'REN9', 'SOS1'}",0.19391357273280585
20,0.6894882434301521,0.42427970216898675,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'REN5', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.19087035909920877
21,0.6870870044052864,0.4249919067659437,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN4', 'REN11', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'REN15', 'SRR1', 'REN14', 'REN9', 'REN5', 'SOS1'}",0.19227478303385892
