dist,known,total,train_docs,unk
0,0.7281757977122215,0.49180839444531127,{'REN3'},0.2374473598963395
1,0.8124718595227375,0.6692151661725698,"{'REN3', 'REN2'}",0.34570411794611083
2,0.8202744577246569,0.6801373069121548,"{'REN8', 'REN3', 'REN2'}",0.34531993654151244
3,0.8280268572666234,0.6880948665938524,"{'REN8', 'REN3', 'REN1', 'REN2'}",0.3275669642857143
4,0.8272138228941684,0.6880948665938524,"{'REN3', 'REN8', 'REN6', 'REN1', 'REN2'}",0.3260258572231591
5,0.8227360308285164,0.6848182243719769,"{'REN14', 'REN3', 'REN8', 'REN6', 'REN1', 'REN2'}",0.3141542002301496
6,0.8265982467393629,0.6896551724137931,"{'St2', 'REN14', 'REN8', 'REN3', 'REN6', 'REN1', 'REN2'}",0.31986143187066973
7,0.8266978922716628,0.6927757840536746,"{'St2', 'REN14', 'REN3', 'REN8', 'REN19', 'REN6', 'REN1', 'REN2'}",0.3253504672897196
8,0.8323809523809523,0.6962084568575441,"{'DSR', 'St2', 'REN14', 'REN3', 'REN8', 'REN19', 'REN6', 'REN1', 'REN2'}",0.3141330166270784
9,0.8127952755905512,0.7208612888126072,"{'DSR', 'St2', 'REN14', 'REN3', 'REN8', 'REN12', 'REN19', 'REN6', 'REN1', 'REN2'}",0.3694507148231753
10,0.8118110236220473,0.7199251053206428,"{'DSR', 'St2', 'REN2', 'REN14', 'REN8', 'REN12', 'REN3', 'REN6', 'REN1', 'REN11', 'REN19'}",0.3686982693754703
11,0.8114431773495872,0.7200811359026369,"{'DSR', 'St2', 'REN2', 'REN14', 'REN12', 'REN3', 'REN8', 'REN10', 'REN6', 'REN1', 'REN11', 'REN19'}",0.3688586545729403
12,0.8114431773495872,0.7196130441566547,"{'DSR', 'St2', 'REN14', 'REN3', 'REN8', 'REN12', 'REN10', 'REN19', 'REN6', 'REN1', 'REN11', 'REN7', 'REN2'}",0.36659108087679515
13,0.819921875,0.7281947261663286,"{'Ko', 'DSR', 'St2', 'REN2', 'REN14', 'REN3', 'REN8', 'REN12', 'REN10', 'REN6', 'REN1', 'REN11', 'REN7', 'REN19'}",0.3638479441427463
14,0.8205078125,0.7285067873303167,"{'Ko', 'DSR', 'St2', 'REN2', 'REN14', 'REN3', 'REN8', 'REN12', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11', 'REN7', 'REN19'}",0.3630721489526765
15,0.8124638240401312,0.728974879076299,"{'REN3', 'Ko', 'DSR', 'St2', 'REN14', 'REN8', 'REN12', 'REN9', 'REN10', 'REN19', 'REN5', 'REN6', 'REN1', 'REN11', 'REN7', 'REN2'}",0.37601957585644374
16,0.8128858024691358,0.7299110625682633,"{'Ko', 'REN18', 'DSR', 'REN5', 'St2', 'REN2', 'REN14', 'REN8', 'REN12', 'REN3', 'REN10', 'REN9', 'REN6', 'REN1', 'REN11', 'REN7', 'REN19'}",0.3787755102040816
17,0.821776611694153,0.7539397721953502,"{'Ko', 'REN18', 'DSR', 'St2', 'REN10', 'REN14', 'SRR1', 'REN12', 'REN3', 'REN8', 'REN9', 'REN19', 'REN5', 'REN6', 'REN1', 'REN11', 'REN7', 'REN2'}",0.41658900279589933
18,0.8479521226856181,0.7810890934623186,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN11', 'DSR', 'REN8', 'REN6', 'REN7', 'REN18', 'SRR1', 'REN14', 'REN9', 'REN5'}",0.4444444444444444
19,0.8483828753037951,0.7806210017163364,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN11', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'SRR1', 'REN14', 'REN9', 'REN5'}",0.4386792452830189
20,0.8438724118634583,0.7776564206584491,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN19', 'REN2', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'SRR1', 'REN14', 'REN9', 'REN5'}",0.4389312977099237
21,0.8377630121816169,0.7790606958963957,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'REN15', 'REN14', 'SRR1', 'REN9', 'REN5'}",0.4581231079717457
