dist,known,total,train_docs,unk
0,0.7626328064265354,0.6409134157944815,{'REN1'},0.3044412607449857
1,0.7674074074074074,0.6664129400570885,"{'REN6', 'REN1'}",0.3269709543568465
2,0.7645320197044335,0.6679352997145576,"{'REN5', 'REN6', 'REN1'}",0.3397489539748954
3,0.7688211086903898,0.679162702188392,"{'REN5', 'REN6', 'REN1', 'REN3'}",0.349644128113879
4,0.767357762777242,0.677640342530923,"{'REN15', 'REN3', 'REN5', 'REN6', 'REN1'}",0.34146341463414637
5,0.7634054562558796,0.6907706945765937,"{'REN15', 'REN3', 'REN10', 'REN5', 'REN6', 'REN1'}",0.382851445663011
6,0.7674035747883349,0.6943862987630828,"{'REN15', 'REN3', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11'}",0.3848454636091725
7,0.7667528803197743,0.6945765937202664,"{'REN15', 'REN3', 'REN12', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11'}",0.38822355289421157
8,0.7806110728233402,0.7231208372978116,"{'REN15', 'DSR', 'REN3', 'REN12', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11'}",0.44567627494456763
9,0.8163041089870359,0.772407231208373,"{'REN15', 'DSR', 'REN12', 'REN3', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11', 'SOS1'}",0.48863636363636365
10,0.8252236526292821,0.7847764034253092,"{'REN15', 'DSR', 'St2', 'REN3', 'REN12', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11', 'SOS1'}",0.5089285714285714
11,0.8229279965194692,0.784395813510942,"{'REN15', 'DSR', 'St2', 'REN12', 'REN3', 'REN11', 'REN10', 'REN5', 'REN6', 'REN1', 'REN4', 'SOS1'}",0.5151975683890577
12,0.819721980886186,0.7811607992388202,"{'REN15', 'REN4', 'DSR', 'St2', 'REN12', 'REN3', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.5084485407066052
13,0.8223812621990891,0.7830637488106565,"{'REN15', 'REN4', 'DSR', 'REN5', 'St2', 'REN12', 'REN3', 'REN10', 'REN9', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.5015527950310559
14,0.8209083119108826,0.7845861084681256,"{'REN6', 'REN15', 'DSR', 'REN5', 'St2', 'REN3', 'REN12', 'REN10', 'REN19', 'REN9', 'REN4', 'REN1', 'REN11', 'SOS1', 'REN2'}",0.4957410562180579
15,0.8222647935291614,0.7885823025689819,"{'REN15', 'DSR', 'St2', 'REN14', 'REN3', 'REN12', 'REN9', 'REN10', 'REN19', 'REN5', 'REN6', 'REN1', 'REN4', 'SOS1', 'REN11', 'REN2'}",0.5044883303411131
16,0.8277683854606932,0.7982873453853473,"{'Ko', 'REN6', 'REN15', 'DSR', 'REN5', 'St2', 'REN2', 'REN14', 'REN3', 'REN12', 'REN10', 'REN9', 'REN4', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.5315487571701721
17,0.834070330595915,0.8058991436726927,"{'Ko', 'REN15', 'REN4', 'DSR', 'St2', 'REN2', 'BS1', 'REN14', 'REN3', 'REN12', 'REN9', 'REN10', 'REN5', 'REN6', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.541501976284585
18,0.8336491893030111,0.8055185537583254,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN2', 'REN19', 'REN1', 'REN4', 'REN11', 'DSR', 'BS1', 'REN6', 'REN7', 'REN15', 'REN14', 'REN9', 'REN5', 'SOS1'}",0.541501976284585
19,0.8349473684210527,0.8074215033301617,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN2', 'REN19', 'REN1', 'REN11', 'REN4', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN15', 'REN14', 'REN9', 'REN5', 'SOS1'}",0.5485148514851486
20,0.8350515463917526,0.8068506184586108,"{'Ko', 'St2', 'REN12', 'REN3', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN5', 'REN8', 'BS1', 'REN6', 'REN7', 'REN15', 'REN14', 'REN9', 'SOS1'}",0.5398406374501992
21,0.8342448464450989,0.8064700285442435,"{'Ko', 'St2', 'REN3', 'REN12', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN11', 'REN4', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'REN15', 'REN14', 'REN9', 'REN5', 'SOS1'}",0.5429141716566867
