dist,known,total,train_docs,unk
0,0.8574792918629203,0.7805912948261703,{'Ko'},0.36858137510879024
1,0.8515500159795462,0.78462907199562,"{'Ko', 'REN19'}",0.38501908396946566
2,0.8653846153846154,0.8224062414453873,"{'REN1', 'Ko', 'REN19'}",0.4180911680911681
3,0.8584237492465341,0.8169997262523953,"{'REN14', 'REN1', 'Ko', 'REN19'}",0.40671641791044777
4,0.8581330520605741,0.8165891048453326,"{'Ko', 'REN14', 'REN1', 'REN7', 'REN19'}",0.40477968633308437
5,0.8570464767616192,0.8163837941418013,"{'Ko', 'REN14', 'REN8', 'REN1', 'REN7', 'REN19'}",0.389937106918239
6,0.8596517450115836,0.8209006296194908,"{'Ko', 'REN14', 'REN8', 'BS1', 'REN1', 'REN7', 'REN19'}",0.39967506092607635
7,0.8596189764661935,0.8206268820147824,"{'Ko', 'REN14', 'REN3', 'REN8', 'BS1', 'REN1', 'REN7', 'REN19'}",0.3952730236348818
8,0.86228260058222,0.8237065425677526,"{'Ko', 'REN14', 'REN3', 'REN8', 'BS1', 'REN1', 'REN7', 'SOS1', 'REN19'}",0.3983539094650206
9,0.8627626285203397,0.8254174650971804,"{'Ko', 'SOS1', 'REN14', 'REN3', 'REN8', 'BS1', 'REN1', 'REN4', 'REN7', 'REN19'}",0.4042016806722689
10,0.8626881239755625,0.8254174650971804,"{'Ko', 'SOS1', 'REN14', 'REN3', 'REN8', 'BS1', 'REN4', 'REN1', 'REN11', 'REN7', 'REN19'}",0.4050420168067227
11,0.8646655742589007,0.827607445934848,"{'Ko', 'SOS1', 'REN14', 'SRR1', 'REN8', 'REN3', 'REN11', 'BS1', 'REN1', 'REN4', 'REN7', 'REN19'}",0.40809443507588533
12,0.8635788219524909,0.8269915138242541,"{'Ko', 'DSR', 'SRR1', 'REN14', 'REN7', 'REN3', 'REN8', 'REN11', 'BS1', 'REN1', 'REN4', 'SOS1', 'REN19'}",0.41166525781910396
13,0.8624869849769449,0.8265124555160143,"{'Ko', 'REN18', 'DSR', 'REN14', 'SRR1', 'REN7', 'REN8', 'REN3', 'BS1', 'REN4', 'REN1', 'REN11', 'SOS1', 'REN19'}",0.411663807890223
14,0.8816504576659039,0.8680536545305229,"{'Ko', 'REN18', 'DSR', 'SOS1', 'SRR1', 'REN14', 'REN3', 'REN8', 'REN19', 'BS1', 'REN4', 'REN1', 'REN11', 'REN7', 'REN2'}",0.5652866242038217
15,0.8799771248838373,0.866342732001095,"{'Ko', 'REN18', 'DSR', 'BS1', 'SRR1', 'REN14', 'REN3', 'REN9', 'REN11', 'REN8', 'REN19', 'SOS1', 'REN1', 'REN4', 'REN7', 'REN2'}",0.5601926163723917
16,0.880137231077121,0.8664111689022721,"{'Ko', 'REN6', 'REN18', 'DSR', 'REN2', 'REN14', 'SRR1', 'BS1', 'REN3', 'REN9', 'REN8', 'SOS1', 'REN4', 'REN1', 'REN11', 'REN7', 'REN19'}",0.5571658615136876
17,0.8811718470882458,0.8676430331234601,"{'Ko', 'REN18', 'REN15', 'DSR', 'SOS1', 'REN2', 'SRR1', 'BS1', 'REN14', 'REN8', 'REN3', 'REN11', 'REN9', 'REN6', 'REN1', 'REN4', 'REN7', 'REN19'}",0.5607779578606159
18,0.8813147552697392,0.8677114700246373,"{'Ko', 'REN3', 'REN12', 'REN2', 'REN19', 'REN1', 'REN11', 'REN4', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN18', 'REN15', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.5591572123176661
19,0.8796713111825653,0.8661374212975637,"{'Ko', 'REN12', 'REN3', 'REN2', 'REN19', 'REN1', 'REN4', 'REN11', 'DSR', 'REN5', 'REN8', 'BS1', 'REN6', 'REN7', 'REN15', 'REN18', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.5591572123176661
20,0.8802429439085387,0.8667533534081577,"{'Ko', 'REN12', 'REN3', 'REN19', 'REN2', 'WS1', 'REN1', 'REN11', 'REN4', 'DSR', 'REN8', 'BS1', 'REN6', 'REN7', 'REN15', 'REN18', 'REN14', 'SRR1', 'REN9', 'REN5', 'SOS1'}",0.5607779578606159
21,0.8792425866380851,0.8658636736928552,"{'Ko', 'REN12', 'REN3', 'REN10', 'REN2', 'REN19', 'WS1', 'REN1', 'REN4', 'REN11', 'DSR', 'REN5', 'REN8', 'BS1', 'REN6', 'REN7', 'REN15', 'REN18', 'REN14', 'SRR1', 'REN9', 'SOS1'}",0.5623987034035657
